         6x5                      (6x5.dat)                                    09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
        28.3        0.62      0.7289      0.0876      0.0749       0.024       0.189       0.231                                                                          
        30.0        0.66      0.7453      0.0811      0.0718       0.023       0.181       0.214                                                                          
        31.7        0.70      0.7555      0.0744      0.0686       0.022       0.173       0.197                                                                          
        33.3        0.73      0.7622      0.0676      0.0650       0.021       0.164       0.179                                                                          
        35.0        0.77      0.7652      0.0606      0.0609       0.020       0.154       0.160                                                                          
        36.6        0.81      0.7640      0.0534      0.0564       0.018       0.142       0.141                                                                          
        38.3        0.84      0.7588      0.0461      0.0512       0.016       0.129       0.122                                                                          
        40.0        0.88      0.7490      0.0387      0.0455       0.015       0.115       0.102                                                                          
        41.6        0.92      0.7311      0.0312      0.0391       0.013       0.099       0.082                                                                          
        43.3        0.95      0.6972      0.0236      0.0322       0.010       0.081       0.062                                                                          
        45.0        0.99      0.6258      0.0159      0.0251       0.008       0.063       0.042                                                                          
        46.6        1.03      0.4628      0.0080      0.0177       0.006       0.045       0.021                                                                          
        48.3        1.06     -0.0010      0.0000      0.0101       0.003       0.025       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       9000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1148      0.0649       0.030       0.207       0.384                                                                          
         1.9        0.04      0.0636      0.1148      0.0662       0.030       0.211       0.384                                                                          
         3.7        0.07      0.1245      0.1148      0.0676       0.031       0.216       0.384                                                                          
         5.6        0.11      0.1829      0.1147      0.0690       0.031       0.220       0.384                                                                          
         7.5        0.15      0.2385      0.1147      0.0705       0.032       0.225       0.383                                                                          
         9.4        0.18      0.2916      0.1146      0.0720       0.033       0.230       0.383                                                                          
        11.2        0.22      0.3421      0.1144      0.0736       0.034       0.235       0.383                                                                          
        13.1        0.26      0.3901      0.1142      0.0751       0.034       0.240       0.382                                                                          
        15.0        0.29      0.4356      0.1137      0.0766       0.035       0.245       0.380                                                                          
        16.9        0.33      0.4788      0.1130      0.0779       0.036       0.249       0.378                                                                          
        18.7        0.37      0.5197      0.1120      0.0790       0.036       0.252       0.375                                                                          
        20.6        0.40      0.5583      0.1106      0.0799       0.036       0.255       0.370                                                                          
        22.5        0.44      0.5942      0.1086      0.0804       0.037       0.257       0.363                                                                          
        24.4        0.48      0.6268      0.1060      0.0806       0.037       0.257       0.355                                                                          
        26.2        0.51      0.6562      0.1028      0.0804       0.037       0.257       0.344                                                                          
        28.1        0.55      0.6830      0.0988      0.0795       0.036       0.254       0.330                                                                          
        30.0        0.59      0.7072      0.0938      0.0778       0.035       0.248       0.314                                                                          
        31.9        0.62      0.7289      0.0877      0.0750       0.034       0.240       0.293                                                                          
        33.7        0.66      0.7453      0.0813      0.0720       0.033       0.230       0.272                                                                          
        35.6        0.70      0.7556      0.0746      0.0687       0.031       0.220       0.249                                                                          
        37.5        0.73      0.7624      0.0677      0.0651       0.030       0.208       0.226                                                                          
        39.4        0.77      0.7654      0.0607      0.0611       0.028       0.195       0.203                                                                          
        41.2        0.81      0.7641      0.0535      0.0565       0.026       0.180       0.179                                                                          
        43.1        0.84      0.7590      0.0462      0.0513       0.023       0.164       0.155                                                                          
        45.0        0.88      0.7492      0.0388      0.0455       0.021       0.145       0.130                                                                          
        46.9        0.92      0.7312      0.0312      0.0391       0.018       0.125       0.104                                                                          
        48.7        0.95      0.6974      0.0236      0.0323       0.015       0.103       0.079                                                                          
        50.6        0.99      0.6257      0.0159      0.0251       0.011       0.080       0.053                                                                          
        52.5        1.03      0.4629      0.0080      0.0177       0.008       0.057       0.027                                                                          
        54.4        1.06     -0.0011      0.0000      0.0101       0.005       0.032       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      10000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1148      0.0650       0.041       0.256       0.474                                                                          
         2.1        0.04      0.0635      0.1148      0.0664       0.042       0.262       0.474                                                                          
         4.2        0.07      0.1243      0.1148      0.0677       0.042       0.267       0.474                                                                          
         6.2        0.11      0.1825      0.1148      0.0692       0.043       0.273       0.474                                                                          
         8.3        0.15      0.2382      0.1147      0.0706       0.044       0.278       0.474                                                                          
        10.4        0.18      0.2912      0.1146      0.0722       0.045       0.284       0.473                                                                          
        12.5        0.22      0.3417      0.1145      0.0737       0.046       0.291       0.473                                                                          
        14.6        0.26      0.3896      0.1142      0.0752       0.047       0.297       0.472                                                                          
        16.7        0.29      0.4352      0.1138      0.0767       0.048       0.302       0.470                                                                          
        18.7        0.33      0.4783      0.1132      0.0781       0.049       0.308       0.467                                                                          
        20.8        0.37      0.5193      0.1122      0.0792       0.050       0.312       0.463                                                                          
        22.9        0.40      0.5579      0.1107      0.0801       0.050       0.316       0.457                                                                          
        25.0        0.44      0.5938      0.1088      0.0806       0.050       0.318       0.449                                                                          
        27.1        0.48      0.6263      0.1062      0.0808       0.051       0.319       0.439                                                                          
        29.2        0.51      0.6559      0.1030      0.0806       0.050       0.318       0.425                                                                          
        31.2        0.55      0.6827      0.0990      0.0797       0.050       0.314       0.409                                                                          
        33.3        0.59      0.7071      0.0940      0.0780       0.049       0.308       0.388                                                                          
        35.4        0.62      0.7289      0.0880      0.0752       0.047       0.297       0.363                                                                          
        37.5        0.66      0.7453      0.0815      0.0721       0.045       0.284       0.336                                                                          
        39.6        0.70      0.7556      0.0748      0.0689       0.043       0.272       0.309                                                                          
        41.7        0.73      0.7625      0.0679      0.0653       0.041       0.257       0.280                                                                          
        43.7        0.77      0.7656      0.0609      0.0612       0.038       0.241       0.251                                                                          
        45.8        0.81      0.7643      0.0537      0.0567       0.035       0.223       0.222                                                                          
        47.9        0.84      0.7592      0.0463      0.0515       0.032       0.203       0.191                                                                          
        50.0        0.88      0.7494      0.0389      0.0456       0.029       0.180       0.160                                                                          
        52.1        0.92      0.7315      0.0313      0.0392       0.025       0.155       0.129                                                                          
        54.2        0.95      0.6977      0.0237      0.0323       0.020       0.127       0.098                                                                          
        56.2        0.99      0.6265      0.0159      0.0252       0.016       0.099       0.066                                                                          
        58.3        1.03      0.4638      0.0080      0.0178       0.011       0.070       0.033                                                                          
        60.4        1.06     -0.0035      0.0000      0.0101       0.006       0.040       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      11000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1149      0.0652       0.054       0.311       0.574                                                                          
         2.3        0.04      0.0633      0.1148      0.0665       0.055       0.317       0.574                                                                          
         4.6        0.07      0.1241      0.1148      0.0679       0.057       0.324       0.574                                                                          
         6.9        0.11      0.1821      0.1148      0.0693       0.058       0.331       0.573                                                                          
         9.2        0.15      0.2378      0.1147      0.0708       0.059       0.338       0.573                                                                          
        11.5        0.18      0.2907      0.1147      0.0723       0.060       0.345       0.573                                                                          
        13.8        0.22      0.3411      0.1145      0.0739       0.062       0.352       0.572                                                                          
        16.0        0.26      0.3892      0.1143      0.0754       0.063       0.360       0.571                                                                          
        18.3        0.29      0.4346      0.1139      0.0769       0.064       0.367       0.569                                                                          
        20.6        0.33      0.4778      0.1133      0.0783       0.065       0.373       0.566                                                                          
        22.9        0.37      0.5188      0.1123      0.0794       0.066       0.379       0.561                                                                          
        25.2        0.40      0.5574      0.1109      0.0803       0.067       0.383       0.554                                                                          
        27.5        0.44      0.5933      0.1090      0.0808       0.067       0.386       0.544                                                                          
        29.8        0.48      0.6259      0.1064      0.0811       0.067       0.387       0.532                                                                          
        32.1        0.51      0.6555      0.1032      0.0809       0.067       0.386       0.516                                                                          
        34.4        0.55      0.6825      0.0992      0.0799       0.067       0.381       0.495                                                                          
        36.7        0.59      0.7070      0.0942      0.0782       0.065       0.373       0.471                                                                          
        39.0        0.62      0.7289      0.0882      0.0754       0.063       0.360       0.440                                                                          
        41.3        0.66      0.7454      0.0817      0.0723       0.060       0.345       0.408                                                                          
        43.6        0.70      0.7557      0.0749      0.0691       0.058       0.330       0.374                                                                          
        45.8        0.73      0.7626      0.0680      0.0654       0.054       0.312       0.340                                                                          
        48.1        0.77      0.7657      0.0610      0.0613       0.051       0.293       0.305                                                                          
        50.4        0.81      0.7645      0.0538      0.0568       0.047       0.271       0.269                                                                          
        52.7        0.84      0.7594      0.0464      0.0516       0.043       0.246       0.232                                                                          
        55.0        0.88      0.7496      0.0390      0.0457       0.038       0.218       0.195                                                                          
        57.3        0.92      0.7317      0.0314      0.0393       0.033       0.188       0.157                                                                          
        59.6        0.95      0.6981      0.0237      0.0324       0.027       0.155       0.119                                                                          
        61.9        0.99      0.6268      0.0160      0.0252       0.021       0.120       0.080                                                                          
        64.2        1.03      0.4640      0.0080      0.0178       0.015       0.085       0.040                                                                          
        66.5        1.06     -0.0015      0.0000      0.0101       0.008       0.048       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      12000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1148      0.0654       0.071       0.371       0.683                                                                          
         2.5        0.04      0.0631      0.1148      0.0667       0.072       0.379       0.683                                                                          
         5.0        0.07      0.1236      0.1148      0.0681       0.074       0.387       0.683                                                                          
         7.5        0.11      0.1815      0.1148      0.0695       0.075       0.395       0.683                                                                          
        10.0        0.15      0.2369      0.1148      0.0710       0.077       0.403       0.682                                                                          
        12.5        0.18      0.2897      0.1147      0.0725       0.078       0.412       0.682                                                                          
        15.0        0.22      0.3401      0.1146      0.0740       0.080       0.420       0.681                                                                          
        17.5        0.26      0.3880      0.1144      0.0756       0.082       0.429       0.680                                                                          
        20.0        0.29      0.4334      0.1140      0.0771       0.083       0.438       0.678                                                                          
        22.5        0.33      0.4766      0.1134      0.0784       0.085       0.445       0.674                                                                          
        25.0        0.37      0.5176      0.1125      0.0796       0.086       0.452       0.669                                                                          
        27.5        0.40      0.5562      0.1112      0.0805       0.087       0.457       0.661                                                                          
        30.0        0.44      0.5921      0.1093      0.0811       0.088       0.460       0.650                                                                          
        32.5        0.48      0.6247      0.1068      0.0814       0.088       0.462       0.635                                                                          
        35.0        0.51      0.6545      0.1036      0.0811       0.088       0.461       0.616                                                                          
        37.5        0.55      0.6816      0.0995      0.0802       0.087       0.456       0.592                                                                          
        40.0        0.59      0.7062      0.0946      0.0785       0.085       0.446       0.562                                                                          
        42.5        0.62      0.7284      0.0886      0.0757       0.082       0.430       0.527                                                                          
        44.9        0.66      0.7450      0.0821      0.0726       0.078       0.412       0.488                                                                          
        47.4        0.70      0.7555      0.0753      0.0694       0.075       0.394       0.448                                                                          
        49.9        0.73      0.7626      0.0684      0.0657       0.071       0.373       0.407                                                                          
        52.4        0.77      0.7659      0.0614      0.0617       0.067       0.350       0.365                                                                          
        54.9        0.81      0.7648      0.0542      0.0571       0.062       0.324       0.322                                                                          
        57.4        0.84      0.7598      0.0468      0.0519       0.056       0.295       0.278                                                                          
        59.9        0.88      0.7503      0.0393      0.0461       0.050       0.262       0.234                                                                          
        62.4        0.92      0.7329      0.0318      0.0397       0.043       0.225       0.189                                                                          
        64.9        0.95      0.7000      0.0241      0.0327       0.035       0.186       0.143                                                                          
        67.4        0.99      0.6291      0.0162      0.0255       0.028       0.145       0.096                                                                          
        69.9        1.03      0.4666      0.0082      0.0179       0.019       0.102       0.049                                                                          
        72.4        1.06     -0.0012      0.0000      0.0101       0.011       0.057       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      13000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1148      0.0656       0.090       0.437       0.801                                                                          
         2.7        0.04      0.0630      0.1149      0.0669       0.092       0.446       0.801                                                                          
         5.4        0.07      0.1234      0.1149      0.0682       0.094       0.455       0.801                                                                          
         8.1        0.11      0.1813      0.1148      0.0697       0.096       0.464       0.801                                                                          
        10.8        0.15      0.2367      0.1148      0.0712       0.098       0.474       0.801                                                                          
        13.5        0.18      0.2895      0.1147      0.0727       0.100       0.484       0.801                                                                          
        16.3        0.22      0.3399      0.1146      0.0742       0.102       0.494       0.800                                                                          
        19.0        0.26      0.3878      0.1144      0.0758       0.104       0.505       0.798                                                                          
        21.7        0.29      0.4333      0.1141      0.0773       0.106       0.515       0.796                                                                          
        24.4        0.33      0.4765      0.1135      0.0787       0.108       0.524       0.792                                                                          
        27.1        0.37      0.5175      0.1127      0.0798       0.110       0.532       0.786                                                                          
        29.8        0.40      0.5561      0.1113      0.0808       0.111       0.538       0.777                                                                          
        32.5        0.44      0.5920      0.1095      0.0814       0.112       0.542       0.764                                                                          
        35.2        0.48      0.6246      0.1070      0.0817       0.112       0.544       0.746                                                                          
        37.9        0.51      0.6544      0.1038      0.0814       0.112       0.543       0.724                                                                          
        40.6        0.55      0.6817      0.0998      0.0805       0.111       0.536       0.696                                                                          
        43.3        0.59      0.7065      0.0948      0.0787       0.108       0.525       0.661                                                                          
        46.1        0.62      0.7288      0.0887      0.0759       0.104       0.506       0.619                                                                          
        48.8        0.66      0.7453      0.0822      0.0728       0.100       0.485       0.573                                                                          
        51.5        0.70      0.7558      0.0754      0.0695       0.096       0.463       0.526                                                                          
        54.2        0.73      0.7628      0.0685      0.0658       0.090       0.439       0.478                                                                          
        56.9        0.77      0.7661      0.0614      0.0617       0.085       0.411       0.428                                                                          
        59.6        0.81      0.7648      0.0541      0.0571       0.078       0.380       0.378                                                                          
        62.3        0.84      0.7598      0.0467      0.0519       0.071       0.346       0.326                                                                          
        65.0        0.88      0.7501      0.0392      0.0460       0.063       0.307       0.274                                                                          
        67.7        0.92      0.7323      0.0316      0.0396       0.054       0.264       0.221                                                                          
        70.4        0.95      0.6990      0.0239      0.0326       0.045       0.217       0.167                                                                          
        73.1        0.99      0.6262      0.0160      0.0253       0.035       0.169       0.112                                                                          
        75.9        1.03      0.4583      0.0079      0.0177       0.024       0.118       0.055                                                                          
        78.6        1.06     -0.0006      0.0000      0.0101       0.014       0.067       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      14000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1148      0.0657       0.113       0.508       0.929                                                                          
         2.9        0.04      0.0628      0.1149      0.0671       0.115       0.518       0.929                                                                          
         5.8        0.07      0.1231      0.1149      0.0684       0.117       0.529       0.929                                                                          
         8.8        0.11      0.1809      0.1149      0.0699       0.120       0.540       0.929                                                                          
        11.7        0.15      0.2362      0.1148      0.0713       0.122       0.551       0.929                                                                          
        14.6        0.18      0.2889      0.1148      0.0729       0.125       0.563       0.929                                                                          
        17.5        0.22      0.3392      0.1147      0.0744       0.128       0.575       0.928                                                                          
        20.4        0.26      0.3871      0.1145      0.0760       0.130       0.587       0.927                                                                          
        23.3        0.29      0.4326      0.1142      0.0775       0.133       0.599       0.924                                                                          
        26.3        0.33      0.4759      0.1137      0.0789       0.135       0.609       0.920                                                                          
        29.2        0.37      0.5170      0.1128      0.0801       0.137       0.619       0.913                                                                          
        32.1        0.40      0.5557      0.1116      0.0810       0.139       0.626       0.903                                                                          
        35.0        0.44      0.5917      0.1097      0.0816       0.140       0.631       0.888                                                                          
        37.9        0.48      0.6245      0.1073      0.0819       0.141       0.633       0.868                                                                          
        40.8        0.51      0.6545      0.1041      0.0817       0.140       0.631       0.842                                                                          
        43.8        0.55      0.6820      0.1001      0.0808       0.139       0.624       0.810                                                                          
        46.7        0.59      0.7072      0.0951      0.0790       0.136       0.610       0.770                                                                          
        49.6        0.62      0.7299      0.0891      0.0761       0.131       0.588       0.721                                                                          
        52.5        0.66      0.7467      0.0825      0.0729       0.125       0.564       0.668                                                                          
        55.4        0.70      0.7579      0.0757      0.0696       0.120       0.538       0.613                                                                          
        58.4        0.73      0.7657      0.0687      0.0659       0.113       0.509       0.556                                                                          
        61.3        0.77      0.7699      0.0616      0.0617       0.106       0.477       0.499                                                                          
        64.2        0.81      0.7699      0.0544      0.0570       0.098       0.440       0.440                                                                          
        67.1        0.84      0.7660      0.0470      0.0517       0.089       0.400       0.380                                                                          
        70.0        0.88      0.7573      0.0394      0.0458       0.079       0.354       0.319                                                                          
        72.9        0.92      0.7406      0.0318      0.0394       0.068       0.304       0.257                                                                          
        75.9        0.95      0.7079      0.0240      0.0324       0.056       0.250       0.195                                                                          
        78.8        0.99      0.6374      0.0162      0.0252       0.043       0.194       0.131                                                                          
        81.7        1.03      0.4756      0.0082      0.0177       0.030       0.137       0.066                                                                          
        84.6        1.06      0.0045      0.0000      0.0099       0.017       0.076       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      15000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.1149      0.0647       0.137       0.574       1.068                                                                          
         3.1        0.04      0.0638      0.1150      0.0661       0.140       0.587       1.068                                                                          
         6.3        0.07      0.1249      0.1150      0.0676       0.143       0.599       1.068                                                                          
         9.4        0.11      0.1833      0.1150      0.0691       0.146       0.613       1.068                                                                          
        12.5        0.15      0.2391      0.1150      0.0706       0.149       0.626       1.068                                                                          
        15.6        0.18      0.2922      0.1149      0.0722       0.152       0.640       1.068                                                                          
        18.8        0.22      0.3428      0.1149      0.0738       0.156       0.654       1.067                                                                          
        21.9        0.26      0.3908      0.1147      0.0754       0.159       0.669       1.066                                                                          
        25.0        0.29      0.4364      0.1145      0.0770       0.163       0.683       1.063                                                                          
        28.1        0.33      0.4796      0.1140      0.0785       0.166       0.696       1.059                                                                          
        31.3        0.37      0.5205      0.1132      0.0798       0.168       0.708       1.051                                                                          
        34.4        0.40      0.5590      0.1119      0.0808       0.171       0.717       1.039                                                                          
        37.5        0.44      0.5947      0.1101      0.0815       0.172       0.723       1.023                                                                          
        40.7        0.48      0.6274      0.1077      0.0819       0.173       0.726       1.000                                                                          
        43.8        0.51      0.6574      0.1045      0.0817       0.172       0.725       0.971                                                                          
        46.9        0.55      0.6850      0.1005      0.0808       0.171       0.716       0.934                                                                          
        50.0        0.59      0.7102      0.0955      0.0790       0.167       0.701       0.887                                                                          
        53.2        0.62      0.7331      0.0894      0.0761       0.161       0.675       0.831                                                                          
        56.3        0.66      0.7503      0.0828      0.0729       0.154       0.647       0.770                                                                          
        59.4        0.70      0.7623      0.0760      0.0696       0.147       0.617       0.706                                                                          
        62.6        0.73      0.7710      0.0691      0.0658       0.139       0.583       0.642                                                                          
        65.7        0.77      0.7763      0.0620      0.0615       0.130       0.546       0.576                                                                          
